,author,title,datepublished,isbn13,Title,Author,PublishedDate,ISBN13
2924,,,,,"Behind the Mountain: A Short Story from the collection, Reader, I Married Him",['Evie Wyld'],2016,9780008173425
2925,,,,,The Bass Rock,['Evie Wyld'],2021,9780525432708
2926,,,,,The Bass Rock,['Evie Wyld'],2021,9781761045301
2927,,,,,Bass Rock,['Evie Wyld'],2022,9782330161286
2928,,,,,Onde cantam os pássaros,['Evie Wyld'],2017,9788594540836
2929,,,,,Todos los pájaros cantan,['Evie Wyld'],2020,9788417743819
2930,,,,,Alle fuglene synger,['Evie Wyld'],2022,9788234705656
2931,,,,,Oltre la montagna,['Evie Wyld'],2016,9788854513235
2932,,,,,Die Frauen,['Evie Wyld'],2021,9783644008090
2933,,,,,Tous les oiseaux du ciel,['Evie Wyld'],2014,9782330037796
2934,,,,,"Après le feu, un murmure doux et léger",['Evie Wyld'],2013,9782330021672
2935,,,,,As Bruxas de Bass Rock,['Evie Wyld Wyld'],2022,9786555981803
2936,,,,,"L'ho sposato, lettore mio","['Tracy Chevalier', 'Tessa Hadley', 'Sarah Hall', 'Helen Dunmore', 'Kirsty Gunn', 'Joanna Briscoe', 'Jane Gardam', 'Emma Donoghue', 'Susan Hill', 'Francine Prose', 'Elif Shafak', 'Evie Wyld', 'Patricia Park', 'Salley Vickers', 'Nadifa Mohamed', 'Esther Freud', 'Linda Grant', 'Lionel Shriver', 'Audrey Niffenegger', 'Namwali Serpell', 'Elizabeth McCracken']",2016,9788854513068
2937,,,,,Ha minden madár énekel,['Evie Wyld'],2020,9786155859991
2938,,,,,Kaikki laulavat linnut,['Evie Wyld'],2016,9789513188597
2939,,,,,A Little Life,['Hanya Yanagihara'],2016,9780804172707
2940,,,,,The People in the Trees,['Hanya Yanagihara'],2014,9780345803313
2941,,,,,To Paradise,['Hanya Yanagihara'],2022,9780385547949
2942,,,,,A Little Life,['Hanya Yanagihara'],2015,9780385539258
2943,,,,,To Paradise,['Hanya Yanagihara'],2022,9781760987329
2944,,,,,A Little Life,['Hanya Yanagihara'],2015,9781101972427
2945,,,,,To Paradise,['Hanya Yanagihara'],2022,9780385548410
2946,,,,,Hawaii,"['Everyman', 'Hanya Yanagihara']",2004,9781841592244
2947,,,,,La gente en los árboles,['Hanya Yanagihara'],2018,9788426405555
2948,,,,,ǂA ǂlittle Life,['Hanya Yanagihara'],2016,9781447294832
2949,,,,,Million Dollar Women,['Julia Pimsleur'],2015,9780349406312
2950,,,,,Million Dollar Women,"['Julia Pimsleur', 'Julia Pimsleur Levine']",2016,9781476790305
2951,,,,,Go Big Now,['Julia Pimsleur'],2021,9781608687350
2952,,,,,Little Pim: Colors,['Julia Pimsleur Levine'],2011,9781419700170
2953,,,,,Little Pim: Animals,['Julia Pimsleur Levine'],2012,9781419701740
2954,,,,,Little Pim: Feelings,['Julia Pimsleur Levine'],2011,9781419700187
2955,,,,,Little Pim: Numbers,['Julia Pimsleur Levine'],2012,9781419701757
2956,,,,,Feelings,['Julia Pimsleur Levine'],2011,9781419701283
2957,,,,,Colours,['Julia Pimsleur Levine'],2011,9781419700880
2958,,,,,Peak Mind,['Amishi P. Jha'],2021,9780062992161
2959,,,,,Peak Mind,['Amishi Jha'],2021,9780349424941
2960,,,,,La nueva ciencia de la atención,['Amishi Jha'],2023,9788449340789
2961,,,,,Sagaz,['Amishi P. Jha'],2022,9786588132135
2962,,,,,La nueva ciencia de la atención,['Amishi Jha'],2023,9786075695136
2963,,,,,Peak Mind,['Amishi P. Jha'],2022,9783962674373
2964,,,,,Peak Mind,['Amishi Jha'],2021,9789025908348
2965,,,,,Mintea ascutita,['Amishi P. Jha'],2022,9786067893625
2966,,,,,顛峰心智,['阿米希‧查(Amishi P. Jha)'],2022,9786267206232
2967,,,,,Rosewater,['Liv Little'],2023,9780349702964
2968,,,,,Rosewater,['Liv Little'],2023,9781638930228
2969,,,,,Hag,"['Daisy Johnson', 'Kirsty Logan', 'Emma Glass', 'Eimear McBride', 'Natasha Carthew', 'Mahsuda Snaith', 'Naomi Booth', 'Liv Little', 'Imogen Hermes Gowar', 'Irenosen Okojie']",2020,9780349013589
2970,,,,,Little Red House,['Liv Andersson'],2022,9781639102044
2971,,,,,UNTITLED BOOK 2,['LIV LITTLE'],2026,9780349702988
2972,,,,,"""I Will Not Be Erased""",['gal-dem'],2019,9781406386370
2973,,,,,Rosewood Confidential,['Liv Spencer'],2012,9781770902183
2974,,,,,Setting Goals with Your Teen,['Liv Montgomery'],2011,9781613391600
2975,,,,,Negotiating the Rules with Your Teenager,['Liv Montgomery'],2011,9781613391617
