,author,title,datepublished,isbn13
36710,['Claudia Harrington'],Pete the Very Chatty Parrot,2018,9781532131745
36711,['Claudia Harrington'],Elmer the Very Sneaky Sheep,2017,9781624021909
36712,['Claudia Harrington'],My Single Mom,2017,9781532130205
36713,['Claudia Harrington'],Hank the Pet Sitter (Set),2016,9781624021862
36714,['Claudia Harrington'],My Special Needs Family,2017,9781532130212
36715,['Claudia Harrington'],My Single Dad,2018,9781532130199
36716,['Claudia Harrington'],#6 Pedro el loro muy hablador (Book 6: Pete the Very Chatty Parrot),2019,9781532137822
36717,['Tracey Smith'],Strategic Workforce Planning,2012,9781478317173
36718,['Tracey Smith'],Love's Fate,2012,9781468163858
36719,['Tracey Smith'],HR Analytics,2013,9781492739166
36720,['Tracey Smith'],Words of Wisdom,2020,9780646828954
36721,['Tracey Smith'],Cedar Hollow,2013,9781482543063
36722,['Tracey Smith'],Fatigue Recovery: The Ultimate Guide on Everything You Need to Know About the Causes (Adrenal Fatigue and How to Reset Your Diet and Your Life),2021,9791220849159
36723,['Tracey Smith'],Jordyn's Journeys Coloring & Activity Book,2023,9798988581208
36724,['Tracey Smith'],Data Driven Decision Making for Small Businesses,2012,9781470187453
36725,['Tracey Smith'],Heaven's Playground,2016,9780768410563
36726,"['Tracey L. Smith', 'Mary Tague-Busler', 'Starla Herbig']",The Key to Survival,2020,9781478645986
36727,"['Tracey Smith', 'Jeff Waller']",Ridiculously Amazing Schools,2020,9781946384997
36728,['Tracey Smith'],Fish Steaks And Fillets Cookbook,2021,9798707256462
36729,['Tracey Smith'],A Day in Quarantine with Jordyn,2022,9781665715973
36730,['Tracey Smith'],The Best Is Yet to Come,2016,9781530592241
36731,['Tracey Smith'],Jane Austen's Pride and Prejudice: A Study Guide,2014,9781291763775
36732,"['Stephen A. Wonderlich', 'Carol B. Peterson', 'Tracey Leone Smith']",Integrative Cognitive-Affective Therapy for Bulimia Nervosa,2015,9781462524815
36733,"['Shawna Suckow, CMP, SFP', 'Bonni Scepkowski', 'Maralynn Adams', 'Tracey Smith, CMP, CMM']",Frankly Speaking...,2018,9780692788127
36734,"['Tracey L. Smith', 'Mary Tague-Busler']",The Key to Survival,2006,9781577664239
36735,['Tracey Walters'],Zadie Smith,2013,9781608707614
36736,['Tracey Smith'],Love's Destiny,2012,9781468018714
36737,['Tracey Smith'],A Spring Scandal,2016,9781532738807
36738,['Tracey Smith'],A Day in Quarantine with Jordyn,2022,9781665715959
36739,['Tracey Smith'],Sugar Free Desserts,2003,9780974300207
36740,"['Tracey Rori Farber', 'Gillian Eagle', 'Cora Smith']","Catastrophic Grief, Trauma, and Resilience in Child Concentration Camp Survivors",2023,9781644696361
36741,"['Tracey V. Bateman', 'Pamela Griffin', 'JoAnn A. Grote', 'Maryn Langer Smith', 'Darlene Mindrup', 'Tracie Peterson', 'Deborah Raney', 'Janet Spaeth', 'Jill Stengl']",A Prairie Christmas Collection,2010,9781607428848
36742,['Tracey Smith'],Be Cute for You,2017,9781975606626
36743,['Tracey Smith'],A Winter Wedding,2014,9781505203363
36744,['Tracey Smith'],Rubbish Ideas,2008,9781906136130
36745,['Tracey Jane Smith'],Addie and Ollie,2011,9781257821013
36746,['Tracey Smith'],Creative Relationships,2009,9781409279464
36747,['Tracy Smith'],Brick City Blues,2001,9780965473866
36748,['Tracey Smith'],Love's Fate (Love's Trilogy #1),2012,9781465921499
36749,"['Tracey L. Smith', 'Mary Tague-Busler']",Icebreaker,2009,9781478610311
36750,"['Tracey L. Smith', 'Mary Tague-Busler']",Icebreaker,2014,9781478627210
36751,['Tracey Smith'],Apologetic Beginnings,2013,9781481927642
36752,['Tracey Smith'],Creative Relationships,2013,9781291442984
36753,['Tracey Smith'],Dragons Rescue Riders,2020,9798584584429
36754,['Tracey Smith'],Jane Austen's Mansfield Park: a Study Guide,2017,9781520593234
36755,['Tracey Smith'],Domestic Painting in Fifteenth Century Florence: the Role of the Cassone Within the Home,2009,9781409257998
36756,['Simon Spurrier'],Weavers #6,2016,9781681599281
36757,['Dylan Burnett'],Arcade Kings Volume 1,2023,9781534399051
36758,"['Zeb Wells', 'David Michelinie', 'Dylan Burnett']",Marvel Select Ant-man: World Hive,2023,9781804911136
36759,['Simon Spurrier'],Weavers,2017,9791033504771
36760,"['Donny Cates', 'Dylan Burnett']",Ghost Rider Cosmico - Baby Thanos deve morire,2019,9788891270146
36761,"['Danny Cates', 'Dylan Burnett']",Cosmic Ghost Rider (2018),2019,9782809481693
36762,"['Donny Cates', 'Dylan Burnett']",Baby Thanos deve morire. Cosmic Ghost Rider,2019,9788891244963
36763,['Jakob Dylan'],Jakob Dylan -- Women + Country Guitar,2010,9780739071274
36764,['Donny Cates'],El bebé Thanos debe morir,2019,9788491678076
36765,['Dylan Burnett'],A Morte do Doutor Estranho - Volume 2 (de 2),2022,9786525900100
36766,"['Donny Cates', 'Cory Smith']",Guardians of the Galaxy - Neustart,2020,9783741616235
36767,['Nicholas Dylan'],Cryptids - Mysterious Unknown Creatures,2023,9783757550882
36768,"['Katherine Johnson', 'Joylette Hylick', 'Katherine Moore']",My Remarkable Journey,2021,9780062897695
36769,['Katherine Johnson'],Reaching for the Moon,2020,9781534440845
36770,['Katherine Johnson'],Paris Savages,2020,9780749026073
36771,"['Katherine Johnson', 'Joylette Hylick', 'Katherine Moore']",One Step Further,2021,9781426371943
36772,['Katherine Johnson Ringsmuth'],Alaska's Skyboys,2015,9780295806228
36773,['Katherine Johnson'],Matryoshka,2018,9781925384642
36774,['Katherine Johnson'],Sexuality,2015,9780745688954
36775,['Katherine Johnson Martinko'],Childhood Unplugged,2023,9781771423717
36776,"['Jason Philips', 'Katherine Johnson']",Nutrition Education for Kids,2013,9781481701006
36777,"['Joylette Hylick', 'Katherine Johnson']",My Remarkable Journey,2021,9780063204850
36778,['Sarah J. Maas'],A Court of Silver Flames,2021,9781526602305
36779,['Sarah J. Maas'],Crown of Midnight,2014,9781619630642
36780,['Sarah J. Maas'],Tower of Dawn,2017,9781681195803
36781,['Sarah J. Maas'],A Court of Frost and Starlight,2018,9781681199061
36782,['Sarah J. Maas'],House of Earth and Blood,2020,9781526634429
36783,['Sarah J. Maas'],House of Sky and Breath,2022,9781635574074
36784,['Sarah J. Maas'],A Court of Wings and Ruin,2018,9781619635203
36785,['Sarah J. Maas'],Queen of Shadows,2016,9781619636064
36786,['Sarah J. Maas'],The Assassin's Blade,2014,9781619633612
36787,['Sarah J. Maas'],A Court of Frost and Starlight,2018,9781408890318
36788,['Sarah J. Maas'],Sarah J. Maas Starter Bundle,2023,9781639732623
