,isbn13,datepublished,totalrevenue,totalunits,price
43214,9781775094227.0,2018-02-27,105016,352,471.368
43215,9781775102816.0,2017-10-01,35363,175,289.38235294117646
43216,9781775105916.0,2017-10-28,1787364,6798,315.3075
43217,9781775105954.0,2018-03-06,1495064,2784,560.9207232267038
43218,9781775105992.0,2018-05-15,230963,582,393.6689075630252
43219,9781775108603.0,2017-10-15,21053,160,137.86206896551724
43220,9781775108634.0,2017-12-26,10948,34,391.6730769230769
43221,9781775108665.0,2018-03-31,5464,21,353.35135135135135
43222,9781775108726.0,2018-03-28,70564,348,353.40314136125653
43223,9781775108726.0,2023-09-09,399,1,399.0
43224,9781775110521.0,2017-12-04,1610046,5778,397.4035989717224
43225,9781775111115.0,2018-02-09,94921,361,353.1542288557214
43226,9781775113508.0,2018-03-10,46168,245,212.01295336787564
43227,9781775113546.0,2018-06-16,54543,241,270.8529411764706
43228,9781775113546.0,2024-10-09,897,3,299.0
43229,9781775122111.0,2018-03-23,47731,152,400.0421686746988
43230,9781775128304.0,2017-10-16,329501,552,597.5
43231,9781775128304.0,2017-12-31,248171,546,580.8121212121212
43232,9781775128359.0,2018-03-19,171191,344,496.22945205479454
43233,9781775128380.0,2019-01-21,747512,1242,574.5473145780052
43234,9781775132103.0,2017-11-27,16627,68,419.2411347517731
43235,9781775134404.0,2017-12-13,325870,937,342.22222222222223
43236,9781775135500.0,2017-12-02,712086,2552,469.6545924967659
43237,9781775135531.0,2018-03-15,813443,1643,489.95030120481925
43238,9781775137115.0,2018-02-22,60298,316,270.85714285714283
43239,9781775141402.0,2017-12-30,0,0,292.5
43240,9781775146414.0,2017-10-31,52217,210,385.2201834862385
43241,9781775150411.0,2017-11-03,547910,738,736.8279301745636
43242,9781775150411.0,2018-05-05,0,0,831.0
43243,9781775150411.0,2018-05-08,3690,6,615.0
43244,9781775154242.0,2019-04-17,2970,30,165.51724137931035
43245,9781775157816.0,2017-11-21,50396,101,497.4557956777996
43246,9781775159117.0,2017-10-08,38057,183,303.42934782608694
43247,9781775161813.0,2017-12-09,16043,68,371.72463768115944
43248,9781775162711.0,2018-06-01,23497,100,359.57575757575756
43249,9781775167013.0,2017-11-11,54353,143,486.9418604651163
43250,9781775169109.0,2017-11-04,109404,290,389.96774193548384
43251,9781775169154.0,2018-06-26,85037,245,379.06293706293707
43252,9781775172215.0,2018-02-13,31968,32,1008.5833333333334
43253,9781775172918.0,2017-11-30,15786443,38657,474.64346764346766
43254,9781775173304.0,2017-11-11,168998,467,403.8469696969697
43255,9781775175711.0,2018-01-14,71893,73,987.3333333333334
43256,9781775177647.0,2018-05-15,13224,54,298.3538461538462
43257,9781775178798.0,2019-01-09,0,0,79.2
43258,9781775180715.0,2017-12-04,10900,152,121.63095238095238
43259,9781775181521.0,2017-11-30,47659,184,271.5984848484849
43260,9781775183303.0,2017-11-15,8119,50,294.162962962963
43261,9781775185314.0,2017-12-25,119272,494,297.85925925925926
43262,9781775185321.0,2018-03-05,49359,183,366.5081967213115
43263,9781775185338.0,2018-05-28,63768,221,354.1284403669725
43264,9781775190318.0,2018-04-02,980,7,345.93650793650795
43265,9781775190820.0,2018-04-16,26288,39,999.0
43266,9781775191117.0,2017-12-05,13374,44,356.6666666666667
43267,9781775191711.0,2018-06-02,1996,4,499.0
43268,9781775191711.0,2018-06-07,1019463,2175,481.707635009311
43269,9781775194903.0,2018-01-10,7727,28,466.88235294117646
43270,9781775202219.0,2018-01-30,14889,71,377.07894736842104
43271,9781775202257.0,2018-06-19,3192,8,398.5
43272,9781775202271.0,2018-11-01,4125,34,176.3846153846154
43273,9781775202301.0,2017-11-25,0,0,399.0
43274,9781775202318.0,2017-11-26,0,0,399.0
