,Author,Title,PublishedDate,ISBN13
218,['Duncan M. Hamilton'],Dragonslayer,2019,9781250306715
219,['Duncan Hamilton'],The Great Romantic,2019,9781473661820
220,['Duncan Hamilton'],Going to the Match: The Passion for Football,2018,9781473661813
221,['Duncan M. Hamilton'],Servant of the Crown,2020,9781250306838
222,"['Jonny Bairstow', 'Duncan Hamilton']",A Clear Blue Sky,2018,9780008232696
223,['Duncan Hamilton'],One Long and Beautiful Summer,2020,9781529408386
224,['Duncan Hamilton'],Fire and Ashes,2009,9781905080526
225,"['Jonny Bairstow', 'Duncan Hamilton']",A Clear Blue Sky,2017,9780008232672
226,['Duncan Hamilton'],For the Glory,2017,9781784160043
227,['Duncan Hamilton'],The Unreliable Life of Harry the Valet,2012,9780099537953
228,['Duncan Hamilton'],Injury Time,2022,9781529408447
229,['Duncan Hamilton'],Old Big 'Ead,2009,9781845138295
230,['Duncan Hamilton'],The Footballer Who Could Fly,2013,9780099558576
231,['Duncan Hamilton'],Provided You Don't Kiss Me,2008,9780007247110
232,['Duncan Hamilton'],Immortal,2013,9781846059827
233,['Laura Calder'],Kitchen Bliss,2023,9781982194703
234,['Laura Calder'],Dinner Chez Moi,2011,9781554689026
235,['Laura Calder'],French Taste,2010,9781554681020
236,['Laura Calder'],French Food at Home,2010,9780062026309
237,['Laura Calder'],The Inviting Life,2017,9780147530530
238,['Laura Calder'],Dinner Chez Moi,2011,9781443409131
239,['Laura Calder'],Paris Express,2014,9781443420228
240,['Laura Marie Altom'],A Navy SEAL's Surprise Baby,2013,9781460318867
241,['Laura Whitcomb'],The Fetch,2009,9780618891313
242,['Mike Calder'],Danny Finds a Friend,2008,9780977549221
243,['Laura Marie Altom'],The SEAL's Christmas Twins,2013,9780373754847
244,['Laura Gordon'],Spencer's Bride,2011,9781459275959
245,"['Tina Leonard', 'Laura Marie Altom', 'Rebecca Winters', 'Trish Milburn']",Harlequin American Romance September 2013 Bundle,2013,9781459255173
246,"['Pacific Rim First Year in Higher Education Conference (12th : 2009 : Townsville, Qld.)']",Preparing for Tomorrow Today,2008,9781741072822
247,['Laura Smith'],"Is Molière's ""Tartuffe"" undermining the Family?",2015,9783656937449
248,['Laura H. Chapman'],Discover Art,1985,9780871921581
249,['Laura Carlin'],The Wicked Cometh,2018,9781473661417
250,"['Nina Harrington', 'Annie West', 'Laura Marie Altom']","Rags To Riches: His Wish, Her Command: The Last Summer of Being Single / An Enticing Debt to Pay / A Navy SEAL's Surprise Baby",2017,9781474068970
251,"['Carlos Viltre Calder N', 'Carlos Viltre Calderón', 'Laura L Mendosa T', 'P. Alberto Leyva F.']",Enfoque Holístico Integrador de la Orientación Profesional,2012,9783848462346
252,['Laura Marie Altom'],Un bebé en la puerta,2015,9788468760810
253,['Laura Whitcomb'],Seelenhüter,2011,9783426414408
254,['Laura Lynne Jackson'],Signs,2019,9780399591594
255,['Laura Marie Altom'],A Navy SEAL's Surprise Baby,2013,9780373754700
256,['Laura Salisbury'],Samuel Beckett,2012,9780748647491
257,['Laura Cerrato'],Beckett. el primer siglo,2007,9789505636211
258,"['Meredith Webber', 'Joanna Neil', 'Laura MacDonald']",Le bébé du cheikh - Un médecin trop célèbre - Effets secondaires (Harlequin Blanche),2008,9782280257756
259,['Laura Lynne Jackson'],Signes,2021,9782896265749
260,['Laura Carlin'],L'Œillet de velours,2019,9782811232757
261,['Laura Lynne Jackson'],Tekens zijn overal,2020,9789000371808
262,['Laura Fröhlich'],Auswirkungen von Ballaststoffen auf das Immunsystem und zur Reduktion der Inzidenz und Mortalität westlicher Krankheiten,2023,9783346868305
263,"['Meredith Webber', 'Joanna Neil', 'Laura MacDonald']",Le bébé du cheikh ; Un médecin trop célèbre ; Effets secondaires,2008,9782280841917
264,['Laura Gordon'],Spencer's Bride,1997,9780373223961
265,['Laura H. Chapman'],Adventures in Art,1998,9780871922557
266,['Laura Avery'],Newsmakers,2005,9780787680817
267,['Laura Tiebert'],Frommer's Chicago with Kids,2003,9780764567247
268,"['Valerie Wolf Deutsch', 'Laura Sutherland']",Innocents Abroad,1991,9780452265851
269,['Laura Jackson'],Paul Simon,2002,9780749923433
270,['Laura Pulfer'],The Big Pig Gig,2000,9781882203703
271,"['Tom DeMichael', 'Sandy Edry', 'Laura Lee']",The Best American History Quiz Book,2002,9780785362593
272,"['Laura Tiebert', 'Kathleen Cantillon']",Chicago For Dummies,2003,9780764525414
273,"['Dave Sargent', 'Laura Tirella']",What Every Teacher and Parent Should Know about Dyslexia,1996,9781567631289
274,"['Washington Post Writers Group', 'Laura Longley Babb']",The Washington Post Guide to Washington,1978,9780070684294
275,"['Betsy Cadel', 'Laura E. Wilker']",Kidsavvy Westchester,2003,9780972747707
276,['John Owens'],One Summer Up North,2020,9781517909505
277,['John Owens'],Confessions of a Bad Teacher,2013,9781402281013
278,['John Owens CEO'],Discovering Fire Service Ii the Other Side,2023,9781665734219
279,['John Owens'],"Rorty, Religion, and Metaphysics",2019,9781498560399
280,['John Owens'],One Winter Up North,2022,9781517912925
281,['Princeton Review (Firm)'],"The Best 173 Law Schools, 2016 Edition",2015,9781101881958
282,['John Owens'],The Other Side,2013,9781470500177
283,"['Charles Phelps Taft', 'John E. Owens']",Trade Barriers and the National Interest,2012,9781258360207
284,['John Owens'],Pursuit,2020,9781098025946
285,['John Owens'],Street Drumming,2022,9781954270138
286,['John Owens'],Corporate Cure,2015,9780984105120
287,"['John Owens', 'Jeffrey Kosh']",Joimethod Hypnosis,2014,9781495262388
288,['John L. Owens'],The Ninth Generation,2011,9781456471309
289,['John Owens'],Chickens Are Not Pets,2018,9781973598640
290,['John Owens'],Fluorescence Detection of Inhibition in Anaerobic Digestion,2019,9780530003801
291,"['Eric Owens', 'John Owens', 'Julie Doherty']",Best 170 Law Schools,2007,9780375765650
292,['John Owens'],Music at Home,2019,9781096913412
293,['John C. Owens'],Yosemite Summer,2021,9781489733412
294,['John Owens'],Copycat: A Jake Lydon Mystery,2022,9781990896002
295,['John Owen'],Meditations and Discourses on the Glory of Christ,2014,9781502303462
296,"['Reid Smith', 'John Owens']",The Majesty of Natchez,1982,9780911116670
297,['John Algernon Owens'],Sword and Pen,2014,9781502741196
298,['John Owen'],Works of John Owen-V 04:,1991,9780851510682
299,['Fordham Universtiy. Veterans Writing Workshop'],Afterwords,2013,9780985646141
300,"['Theo Rorschalk', 'Bob Thurber', 'Mark Rapacz', 'Shirley Kwan', 'Luke Evans', 'Chris Miller', 'Michael Andreoni', 'J. Slavens', 'Ann Leckie', 'John Owens', 'Mithran Somasundrum']",Touching the Monkey 2,2015,9781512240665
