,Author,Title,PublishedDate,ISBN13
17888,"['April B. Lynch', 'Barbara R. Haddon', 'Tbd']",WILDFLOWERS! A Guide to Identifying the Wildflowers of Northern California's Wine Country,2022,9781087876177
17889,['Barbara Lynch'],No Other Sort of Life,2010,9780646530802
17890,['Barbara Lynch'],Topics in Senior Maths,1998,9781876133436
17891,"['Barbara Lynch', 'Valerie Heath']",Picnic at Hanging Rock,2003,9780957844940
17892,"['Barbara Lynch', 'Angelo Pantalone']",Maths in Fashion,2011,9781846181900
17893,['Barbara Lynch'],Maths in Science,2007,9781921015632
17894,"['Barbara Lynch', 'Angelo Pantalone']",Maths in the Kitchen,2009,9781921403781
17895,['Barbara Lynch'],Mary Mary,2020,9781649708366
17896,"['Ross Parr', 'Barbara Lynch']",Year Seven Calculator,2009,9781921403576
17897,"['Ross Parr', 'Barbara Lynch']",Year Nine Calculator,2009,9781921403590
17898,['Jonathan Bardon'],"The Struggle for Ireland, 400 A.D. - 1450 A.D",1970,9780714404141
17899,"['Nicholas H. Wegner', 'Barbara Lonnborg', 'Thomas Joseph Lynch']",The Mission Continues,2005,9781889322636
17900,"['Barbara Lynch', 'Ross Parr']",Year Seven Non-calculator,2009,9781921403583
17901,['Barbara Lynch'],The Malbons,2005,9780973884401
17902,"['April Lynch', 'Barbara Haddon']",Wildflowers!,2020,9798575500759
17903,"['Joette Stefl-Mabry', 'Barbara L. Lynch']",Knowledge Communities,2006,9780810852280
17904,"['Brian Lynch', 'Mike Costa', 'Tom Waltz']",Teenage Mutant Ninja Turtles Heroes Collection,2014,9781613779248
17905,['Barbara Manger'],Riding Through Grief,2013,9780989792318
17906,"['Barbara Sewell', 'Patrick Lynch']",The Story of Ancient Egypt,2012,9781258513283
17907,"['Reverend Thomas Lynch', 'Barbara Mariconda']",After the Diagnosis...,2018,9781981230457
17908,['Kathleen Cushman'],Sent to the Principal,2005,9780976270614
17909,"['Barbara J. Lynch', 'Lynch', 'R. E. Parr']",Mathematics Study Dictionary,2000,9780195511802
17910,['Jessica Reino'],Food Allergies,2015,9781442235748
17911,['Jessica A. Krug'],Fugitive Modernities,2018,9781478002628
17912,['Jessica Maier'],The Eternal City,2020,9780226591599
17913,['Jessica Riskin'],The Restless Clock,2016,9780226302928
17914,['Jessica A. Boon'],The Mystical Science of the Soul,2012,9781442699564
17915,"['Jessica Enoch', 'Cristina Devereaux Ramirez']",Mestiza Rhetorics,2019,9780809337408
17916,['Jessica Joyce Christie'],Maya Palaces and Elite Residences,2003,9780292712447
17917,['Jessica Akin'],Pregnancy and Parenting,2016,9781442243033
17918,"['Matthias B. Lehmann', 'Jessica M. Marglin']",Jews and the Mediterranean,2020,9780253048004
17919,"['Cécile Accilien', 'Jessica Adams', 'Elmide Méléance']",Revolutionary Freedoms,2006,9781584322931
17920,['Danica Davidson'],Manga Art for Beginners,2016,9781510700062
17921,['Ilja Pfeijffer'],La Superba,2016,9781941920220
17922,['Ilja Leonard Pfeijffer'],Grand Hotel Europa,2022,9780374722258
17923,['Ilja Leonard Pfeijffer'],Rupert,2009,9781934824092
17924,['Ilja Leonard Pfeijffer'],Grand Hotel Europa,2021,9788865948149
17925,['Ilja Leonard Pfeijffer'],Three Aeginetan Odes of Pindar,1999,9789004113817
17926,"['Erik Jan Harmens', 'Ilja Leonard Pfeijffer']",Duetten,2016,9789048832217
17927,['Ilja Leonard Pfeijffer'],Het grote baggerboek,2011,9789029569019
17928,['Ilja Leonard Pfeijffer'],La Superba,2019,9789029540711
17929,['Ilja Leonard Pfeijffer'],Grand Hotel Europa,2018,9789029526227
17930,['Ilja Leonard Pfeijffer'],Alkibiades,2023,9789029549868
17931,['Donna S. Frelick'],Not Fade Away,2019,9781732019010
17932,['Donna S. Frelick'],Unchained Memory,2019,9781732019041
17933,['Donna S. Frelick'],Fools Rush In,2019,9781732019027
17934,['Donna S. Frelick'],King of Pain,2021,9781732019058
17935,['Donna S. Frelick'],Trouble in Mind,2019,9781732019034
17936,"['Margo Bond Collins', 'Blaire Edens', 'Donna Frelick', 'Erin Hayes']","Baby, It's Cold in Space",2016,9781540429018
17937,['Donna S. Frelick'],Unchained Memory,2015,9780692366455
17938,"['David A. Birch', 'Donna M. Videto']",Promoting Health and Academic Success,2015,9781492585091
17939,"['Ghader Faraji', 'H.S. Kim', 'Hessam Torabzadeh Kashi']",Severe Plastic Deformation,2018,9780128135181
17940,['H. S. Kim'],Waxing Moon,2013,9781937178383
17941,"['Ajoy Prasad Shetty T.', 'G. R. Vijay Kumar', 'Amit C. Jhala', 'Ankit Patel', 'Arun Bhanot', 'Arun Kumar Viswanadha', 'Ashish Diwan', 'H. S. Chhabra', 'Hamza Shaikh', 'Hyeun Sung Kim', 'Il-Tae Jang', 'Jee-Soo Jang', 'Justin Mowbray', 'Ketan Deshpande', 'Ketan M. Badani', 'Ki Joon Kim', 'Manish K. Kothari', 'Mehul Sarkar', 'Naresh Babu J.', 'Nisarg Parikh', 'Nitin Adsul', 'Parthasarathy Srinivasan', 'Pradyumna Pai Raiturker', 'Pramod V. Lokhande', 'Ranjith Unnikrishnan', 'Rishi M. Kanna', 'S. Rajasekaran', 'Sagar Sharma', 'Sambhav Shah', 'Sandeep Diwan', 'Seong-Hoon Oh', 'Shrinivas Mahadeo Rohidas', 'Subbiah M.', 'Thomas Kishen', 'Upendra Bidre', 'Vijay Sekharappa', 'Vikaas E. Thuppale', 'Vikas Tandon']",The ASSI Monographs,2019,9789386293992
